id,authors,year,title,venue,doi_or_url,citation_key,category,problem_addressed,dataset_used,traffic_type,tls_version_range,features_used,fingerprinting_method,ml_algorithm,evaluation_metrics,main_findings,main_limitations,relevance_to_etth,possible_research_gap,notes
11,"Anderson, Blake; McGrew, David",2020,"Accurate TLS Fingerprinting using Destination Context and Approximate Matching","arXiv Preprint",https://arxiv.org/abs/2009.01939,anderson2020accurate,Area 2,"Solving JA3 collision problem by incorporating destination address port and server name into TLS fingerprinting; achieving high-accuracy process identification","Data from two geographically distinct sites and malware analysis sandbox; 50+ million real-world sessions per day",Enterprise TLS traffic malware sandbox traffic,TLS 1.2 TLS 1.3,"TLS fingerprint string destination IP address port server_name (SNI) equivalence classes for destination features",Destination-aware TLS fingerprinting (mercury),Weighted naive Bayes classifier,F1 score precision recall,"Destination context disambiguates processes matching same JA3 fingerprint; F1 > 0.99 for process identification; 99.9% precision and 88.7% recall for malware detection; approximate matching via edit distance achieves F1 0.90 for unknown fingerprints; knowledge base older than one month reduces performance","Requires well-curated fingerprint database; privacy concerns with destination tracking; open-source mercury tool has performance limitations; sandbox bias in malware data",High - demonstrates JA3 collision problem and proposes destination-context solution; relevant to ETTH's fingerprinting strategy,"Performance of destination-aware fingerprinting under ECH where SNI is encrypted",Verified - arXiv preprint
12,"IETF",2026,"TLS Encrypted Client Hello (ECH)","RFC 9849",https://www.rfc-editor.org/info/rfc9849,rfc9849,Area 2,"Standardizing Encrypted Client Hello extension to encrypt SNI and other sensitive ClientHello fields; preserving privacy while maintaining TLS security properties","Not applicable (standards document)",TLS 1.3 DTLS 1.3,TLS 1.3,"SNI ALPN and other ClientHello fields encrypted using HPKE; outer ClientHello contains dummy information",ECH (Encrypted Client Hello),Not applicable,Not reported,"SNI and ALPN encrypted in ClientHello; prevents on-path observers from learning target domain; supports anonymity sets; ECH considered insufficient alone to protect server identity (DNS IP address may still leak); downgrade resistance required","Does not protect against active attackers who can probe DNS or modify responses; ECH adoption depends on DNS-based configuration distribution; may complicate legitimate network security controls",Very High - directly impacts TLS visibility assumptions for ETTH; ECH removes SNI which is commonly used for classification,"ECH-aware threat hunting methods",Verified - IETF RFC 9849
13,"Cisco",2025,"Encrypted Client Hello (ECH) Defense Strategies","Cisco Secure Firewall Documentation",https://secure.cisco.com/secure-firewall/docs/encrypted-client-hello-defense-strategies-how-cisco-secure-firewall-tackles-ech,cisco2025ech,Area 2,"Operational analysis of ECH impact on network security controls; strategies for maintaining visibility despite ECH deployment","Not applicable (technical documentation; operational observations from Cisco SOC)",Enterprise network traffic with ECH-enabled clients,TLS 1.3,"Outer ClientHello visible fields; ECH server detection; process identification via TLS fingerprinting; DNS queries",Not reported,Cisco Encrypted Visibility Engine (EVE),Not reported,"ECH obscures SNI replacing it with generic CDN ECH domain; EVE can still fingerprint session via Outer ClientHello and TLS handshake characteristics identifying process (e.g., Firefox); DNS-over-HTTPS further limits visibility; three-layer defense: DNS control endpoint policies selective decryption","ECH adoption still low in observed conference traffic (33 matches); no clear technological solution for full visibility yet; vendor-specific capabilities may not transfer",High - operational perspective on ECH impact; demonstrates that fingerprinting Outer ClientHello still provides some visibility,"Quantitative measurement of ECH adoption rates and impact on existing IDS/IPS",Verified - Cisco Secure Firewall documentation
14,"Fu, Chuanpu; Li, Qi; Xu, Ke",2024,"Flow Interaction Graph Analysis: Unknown Encrypted Malicious Traffic Detection","IEEE/ACM Transactions on Networking",https://doi.org/10.1109/TNET.2024.3370851,fu2024hypervision,Area 3,"Detecting unknown encrypted malicious traffic without prior knowledge of attacks; overcoming limitations of supervised methods that rely on labeled datasets","92 real-world datasets including 48 encrypted attacks",Encrypted malicious and benign traffic,Not specified (real-world varied),"Flow interaction patterns graph structural features (connectivity sparsity statistics) per-flow packet feature sequences",Not reported,Unsupervised graph learning K-Means clustering,AUC F1 accuracy detection throughput,"HyperVision constructs compact in-memory graph of flow interaction patterns; detects abnormal interaction patterns without labeled attack data; achieves 0.92+ AUC and 0.86+ F1; 13.9% accuracy improvement over state-of-the-art; 15.82 Mpps detection throughput with 0.29s latency","Requires real-time graph construction; evaluation limited to specific attack types; graph density reduction may lose fine-grained information; unknown how well it generalizes to very large networks",High - demonstrates unsupervised flow-interaction analysis for unknown encrypted attacks; supports ETTH's behavioral metadata approach,"Applicability to TLS-specific flow features and JA4 fingerprints",Verified - DOI resolves to IEEE/ACM ToN
15,"Ramos, Fabian Martin; Wang, Xinyuan",2023,"Detecting Stealthy Cobalt Strike C&C Activities via Multi-Flow based Machine Learning","ICMLA 2023",https://people.cs.gmu.edu/~xwangc/Publications/ICMLA2023-CobaltStrikeMFMLDetect.pdf,ramos2023cobalt,Area 3,"Detecting encrypted Cobalt Strike HTTPS Beacon traffic from normal HTTPS traffic using multi-flow machine learning features; validating on real-world cyberattack traffic","Real-world Cobalt Strike C&C traffic captured from actual cyberattacks; lab-generated traffic with 29 Malleable C&C profiles",Encrypted HTTPS Beacon traffic and normal HTTPS traffic,TLS 1.2 (HTTPS),"Multi-flow features: nses cltmoredata clt1stappdata dur dur_mean dur_std int_mean int_std; derived from TLS session groups between two hosts",Not reported,Neural network (L-BFGS solver) Random Forest Naive Bayes,True positive rate false positive rate,"Neural network detects 90.9% of real-world Cobalt Strike C&C activities with 0.4% false positive rate; multi-flow features capture inherent Beacon characteristics; handles data jitter and sleep jitter; outperforms single-flow approaches","Only validated on Cobalt Strike; may not generalize to other C2 frameworks; requires multiple TLS sessions between hosts; neural network seed-dependent",High - demonstrates multi-flow behavioral feature extraction for encrypted C2 detection; relevant to ETTH's flow-level analysis,"Generalization of multi-flow features to other malware families and TLS 1.3",Verified - PDF available from GMU author page
16,"Martin Ramos, Fabian; Wang, Xinyuan",2022,"A Machine Learning Based Approach to Detect Stealthy Cobalt Strike C&C Traffic","Machine Learning and Knowledge Extraction (MLN)",https://people.cs.gmu.edu/~xwangc/Publications/MLN2022-CobaltStrikeMLDetect.pdf,martinramos2022cobalt,Area 3,"Detecting stealthy Cobalt Strike C&C traffic from encrypted traffic using flow-based features; validating on real-world attack traffic","Real-world Cobalt Strike C&C traffic from cyberattacks; lab-generated Beacon traffic",Encrypted HTTP/S Beacon traffic and normal traffic,TLS 1.2 (HTTPS),"Flow features: proto_index service_index history_index orig_bytes resp_bytes orig_pkts orig_ip_bytes resp_pkts resp_ip_bytes",Not reported,Random Forest Neural Network Naive Bayes SVM K-Means,Detection rate false positive rate F1 score,"Random forest detects ~50% of real-world Cobalt Strike traces with 1.4% FPR; first validation on real-world attack traffic; demonstrates feasibility of flow-based encrypted C2 detection","Low detection rate compared to later multi-flow approach; features can be modified by adversaries using proxies; limited to Cobalt Strike; requires careful feature selection",Supporting - earlier single-flow approach; provides baseline for comparison with multi-flow methods,"Robustness against proxy-based adversarial evasion",Verified - PDF available from GMU author page; cited as MLN 2022
17,"Zhang, Y.; et al.",2025,"Beaconing Detection in Encrypted Traffic: A SCADA-Based Hybrid Approach Using Zeek Metadata and Isolation Forest","ResearchGate / RS",https://doi.org/10.21203/rs.3.rs-8244495/v1,zhang2025beacon,Area 3,"Detecting Beacon behavior in encrypted SCADA/ICS traffic using only Zeek connection metadata without content inspection","Lab-generated legitimate and Beacon traffic in isolated SCADA environment",Encrypted HTTPS/TLS Beacon traffic and normal SCADA traffic,TLS 1.2 TLS 1.3,"Connection metadata: source-destination-port grouping inter-arrival times mean period standard deviation coefficient of variation (CV)",Not reported,Isolation Forest Random Forest LSTM,Accuracy,"Isolation Forest achieves 94.59% accuracy; CV < 0.2 threshold identifies low-jitter periodic flows; hybrid approach combining heuristic CV analysis and iForest; payload-independent detection suitable for real-time SCADA monitoring","Lab environment only; limited to SCADA context; LSTM computationally expensive; Beacon traffic generated in controlled setting may not reflect real-world jitter patterns",Supporting - demonstrates metadata-only beacon detection with Isolation Forest; relevant to ETTH's behavioral scoring component,"Generalization to enterprise networks beyond SCADA",Verified - DOI resolves to ResearchGate preprint
18,"Akem, A. T.-J.; Fraysse, G.; Fiore, M.",2024,"Real-Time Encrypted Traffic Classification in Programmable Networks with P4 and Machine Learning","International Journal of Network Management",https://doi.org/10.1002/nem.2320,akem2024realtime,Area 3,"Achieving line-rate encrypted traffic classification in programmable switches using tree-based ML; using only packet size and IAT features unaffected by encryption","ISCXVPN2016 NIMS IMA Netflow QUIC datasets",Encrypted VPN QUIC instant messaging traffic,TLS 1.2 QUIC,"Packet size and Inter-Arrival Time (IAT) statistics: max min total mean median std dev quantile skew kurtosis current packet size",Not reported,Random Forest XGBoost,Accuracy,"In-switch RF achieves 87.2-95.3% accuracy; consumes <10% of switch hardware resources; sub-microsecond delay; tree-based models excel at encrypted traffic classification using only size and timing features","Limited to features computable in switch data plane; QUIC accuracy varies by dataset; requires offline model training and encoding into P4; not all feature types available in switch",Supporting - demonstrates that packet size and IAT features alone are effective for encrypted traffic classification; relevant to ETTH's feature selection,"Applicability of in-switch constraints to ETTH's offline/slow-path model",Verified - DOI resolves to IJNM article
19,"Garcia, J.; Korhonen, T.; Andersson, R.; Vastlund, F.",2018,"Efficient Distribution-Derived Features for High-Speed Encrypted Flow Classification","ACM SIGCOMM Workshop on Network Meets AI & ML (NetAI)",https://doi.org/10.1145/3229543.3229548,garcia2018efficient,Area 3,"Evaluating histogram-based distribution features (KSD) for encrypted flow classification; comparing with statistical moments and uniform binning","Live cellular network traces (2.1B packets / 834M after filtering / 10M flows); synthetic Gaussian and Beta mixture data",Encrypted video and VoIP traffic from cellular network,TLS (implied by encrypted flow context),"Packet size and inter-arrival time distribution features: basic stats (min/mean/max) moments (std dev variance skew kurtosis) histogram bins (linear probabilistic MDLP KSD)",Not reported,Random Forest,ROC-AUC Jensen-Shannon distance,"Adaptive KSD discretization outperforms uniform and probabilistic binning; histogram-based features improve on statistical moments for classification; better runtime performance than higher-order moments; packet count significantly impacts performance","Synthetic data may not reflect real-world complexity; limited to cellular network context; evaluation focuses on video/VoIP only",Supporting - provides evidence that distribution-derived packet size and IAT features are effective for encrypted flow classification,"KSD features for broader application categories beyond video/VoIP",Verified - DOI resolves to ACM NetAI 2018
20,"Wickramasinghe, Nimesha; Shaghaghi, Arash; Tsudik, Gene; Jha, Sanjay",2025,"SoK: Decoding the Enigma of Encrypted Network Traffic Classifiers","IEEE Symposium on Security and Privacy (S&P)",https://doi.org/10.1109/SP61157.2025.00165,wickramasinghe2025sok,Area 4,"Systematizing ML-based NTC studies; identifying pitfalls in dataset choices design decisions and assumptions; evaluating state-of-the-art classifiers","CipherSpectrum dataset (new) plus public datasets (ISCXVPN2016 USTC-TFC2016 etc.)",Encrypted network traffic,TLS 1.2 TLS 1.3,"Raw packet bytes flow features; occlusion of SNI cipher info IP addresses TCP headers; per-flow vs per-packet splits",Various SOTA classifiers (ET-BERT YaTC etc.),Accuracy (348 occlusion experiments),"Many proposed encrypted traffic classifiers mistakenly use unencrypted traffic due to legacy datasets; SNI data leakage causes overfitting; per-packet split enables flow-ID shortcuts; frozen encoder evaluation reveals representation learning failures; TLS 1.3 datasets often contain deprecated cipher suites","Scope limited to raw-information-based NTC (excludes side-channel and multimodal methods); CipherSpectrum focuses on cipher-agnostic classification; some findings may not apply to flow-feature-based methods",Very High - critical systematization revealing dataset bias overfitting and design flaws in NTC; directly relevant to ETTH's methodology design,"Robust evaluation methodology for ETTH's own classifiers",Verified - DOI resolves to IEEE S&P 2025
21,"Malekghaini, Navid; Akbari, Elham; Salahuddin, Mohammad; Limam, Noura; Boutaba, Raouf; Mathieu, Bertrand; Moteau, Stephanie; Tuffin, Stephane",2022,"Data Drift in DL: Lessons Learned From Encrypted Traffic Classification","IFIP Networking Conference",https://dl.ifip.org/index.html/db/conf/networking/networking2022/1570792477.pdf,malekghaini2022data,Area 4,"Studying data drift effects on deep learning encrypted traffic classifiers; proposing architectural adaptations for robustness across datasets and time","Multiple datasets of real-world network traffic from major ISP (different collection times)",Encrypted web traffic (HTTPS HTTP/2 QUIC),TLS 1.2 TLS 1.3 QUIC,"Flow time-series features TLS header bytes flow statistics",Deep learning (CNN LSTM),Accuracy,"Model performance degrades when trained on old data and tested on new data; traffic shape model more resilient to drift than TLS header model; application-layer protocol selection affects robustness; adapted architecture improves convergence on new datasets","Manual adaptation approach; automatic parameter selection needed; QUIC evaluation limited; drift detection not fully automated",High - directly addresses concept drift for encrypted traffic DL models; relevant to ETTH's model maintenance strategy,"Automatic drift adaptation for ETTH's explainable ML pipeline",Verified - PDF available via IFIP
22,"Singh, Kalindi; Kashyap, Aayush; Cherukuri, Aswani Kumar",2025,"Interpretable Anomaly Detection in Encrypted Traffic","arXiv Preprint",https://arxiv.org/abs/2505.16261,singh2025interpretable,Area 4,"Developing interpretable ML framework for anomaly detection in encrypted traffic using SHAP explainability with XGBoost Random Forest and Isolation Forest","CIC-Darknet2020 USTC-TFC2016 CSE-CIC-IDS2018",Encrypted traffic (Tor malware botnet DDoS etc.),TLS 1.2 TLS 1.3 (implied),"Flow-based features from CICFlowMeter: packet counts byte counts port IATs flow duration etc.",XGBoost Random Forest Isolation Forest with SHAP,Accuracy precision recall F1-score SHAP explanations,"XGBoost achieves 99.94% peak accuracy; SHAP reveals most influential traffic features per attack class; model-agnostic framework works across multiple encrypted traffic datasets; feature importance varies by attack type","Limited to three datasets; real-time deployment not evaluated; adversarial conditions not tested; SHAP computation overhead for high-throughput networks",High - demonstrates XGBoost + SHAP for encrypted traffic anomaly detection; relevant to ETTH's explainable ML component,"Real-time SHAP computation for ETTH's scoring pipeline",Verified - arXiv preprint
23,"Grabowski, Adam; Xu, Shengjie",2025,"Explainable AI for Forensic Analysis: A Comparative Study of SHAP and LIME in Intrusion Detection Models","Applied Sciences (MDPI)",https://doi.org/10.3390/app15137329,grabowski2025explainable,Area 4,"Comparing SHAP and LIME for explaining XGBoost and TabNet intrusion detection models; evaluating explanation fidelity consistency and forensic relevance","UNSW-NB15",Network intrusion traffic (Normal DoS Reconnaissance etc.),Not specified,"Flow features from UNSW-NB15: duration protocol service state etc.",XGBoost TabNet with SHAP and LIME,Accuracy AUC fidelity consistency Jaccard,"SHAP provides coherent global explanations and is superior for forensic reporting; LIME offers rapid local explanations for incident response; complementary use recommended; SHAP prioritizes validation and auditing LIME suits exploratory analysis","Limited to two model types; explanation stability under adversarial perturbation not fully tested; computational overhead for LIME at scale",Supporting - provides forensic XAI methodology for IDS; relevant to ETTH's explainable threat scoring design,"XAI methods specifically for TLS-fingerprint-based decisions",Verified - DOI resolves to MDPI Applied Sciences
24,"Ugurlu, Mesut; Dogru, Ibrahim Alper; Arslan, Recep Sinan",2021,"A new classification method for encrypted internet traffic using machine learning","Turkish Journal of Electrical Engineering and Computer Sciences",https://journals.tubitak.gov.tr/cgi/viewcontent.cgi?article=1057&context=elektrik,ugurlu2021classification,Area 4,"Classifying encrypted internet traffic using XGBoost Decision Tree and Random Forest without decryption; comparing model performance across scenarios","ISCX VPN-NonVPN dataset",Encrypted VPN and non-VPN traffic (Audio Chat Email File Transfer P2P Streaming VoIP),TLS 1.2 (implied by dataset),"Packet sizes round-trip times flow durations byte counts packet counts",Not reported,XGBoost Decision Tree Random Forest,Accuracy precision recall F1-measure,"XGBoost achieves 94.53% accuracy for non-VPN encrypted traffic; outperforms Decision Tree and Random Forest; VoIP class detected with near-100% accuracy; streaming and chat classes more challenging; VPN encryption reduces accuracy by ~4%","Limited to 5 traffic classes; ISCX dataset has known issues; XGBoost hyperparameter tuning via GridSearchCV only; no evaluation on modern TLS 1.3 traffic",Supporting - demonstrates XGBoost effectiveness for encrypted traffic classification using simple flow features,"Performance on TLS 1.3 with ECH",Verified - TUBITAK journal article
25,"Zhang, H.; et al.",2022,"Deep-Forest-Based Encrypted Malicious Traffic Detection","Electronics (MDPI)",https://doi.org/10.3390/electronics11070977,zhang2022deepforest,Area 4,"Detecting SSL/TLS-encrypted malicious traffic with small-scale and unbalanced training data using deep-forest framework","Custom SSL/TLS encrypted malicious traffic dataset (Dataset 1)",SSL/TLS-encrypted malicious traffic (9 classes),TLS 1.2 TLS 1.3 (implied),"Traffic images generated from session byte sequences (first N bytes of session)",Deep forest (CaForest) integrating Random Forest Extra Trees XGBoost,Detection rate false alarm rate accuracy,"DF-IDS (CaForest with RF + Extra Trees 20 trees each) achieves 94.9% accuracy and 94.4% M-DR with 0.70% M-FAR on 9-class classification; outperforms DL baselines on small-scale unbalanced data; avoids overfitting without requiring large datasets","Dataset not publicly available; limited to 9 classes; traffic image size sensitivity; comparison limited to specific DL baselines",Supporting - demonstrates tree-ensemble approach for encrypted malicious traffic with limited data; relevant to ETTH's model selection,"Generalization to larger and more diverse malicious traffic datasets",Verified - DOI resolves to MDPI Electronics
